Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
Tau-M-C	MAPT	-2.94171151708966	-7.29252337522926	-4.29349998068043	-3.77437339442539	-3.94220871029240	-3.42877006958031	-4.66670011200091	-4.49648057124123	-3.70606316600814	-4.42151741250032	-3.87575813713956	-4.55621028285551	-3.47174767682540	-5.26570212040780	-3.93946285616939	-4.15245229047960	-5.25099694877943	-4.91712130355731	-2.95972477841644	-3.46055024043175	-6.29568870101406	-5.83110303136855	-5.76732565010935	-3.02602936887342	-5.26668483366104	-3.04292556019562	-4.22205035892190	-4.10666595150862	-4.62216811326517	-3.61632807459644	-3.27033511818957	-3.14410182385233	-4.42193598375052	-3.64574926381836	-5.16255499783969	-2.55178190320433
TAZ-R-V	WWTR1	-5.31009426598519	-4.66654155101429	-5.34025944276437	-5.47382907157485	-4.56415513712961	-4.67163527595293	-4.85752879526242	-5.41547930186690	-4.79659990591924	-4.06294414745596	-4.85237299810768	-4.71211419718479	-4.70011149339845	-4.21791076711944	-4.79459073071954	-3.47231383649228	-6.42147080365064	-5.08039866144393	-6.43729755065808	-3.95201184233869	-3.76697558315831	-7.18388855887365	-5.92324980103823	-4.01458051280165	-3.95821314757322	-3.50036880021950	-5.30619987727067	-6.13100192016174	-5.45249716260317	-4.29339387130999	-3.98444344645167	-5.68525491051324	-6.38965364208732	-4.11879503135800	-4.09036266221161	-3.88211170655778
TFAM-R-V	TFAM	-6.07855056185747	-7.80052701712256	-6.53933392112337	-7.06330416343412	-4.57888544039339	-4.10475698435557	-4.50382891721458	-4.98899631820076	-6.34613450825635	-8.72029491083581	-5.09230916052406	-6.11770762882123	-4.71733128791094	-4.94931831562914	-4.14344972122934	-4.59621030396084	-5.98635354517999	-5.44558519830358	-5.93477898281618	-5.25324319122027	-5.46676182122859	-5.25658343507118	-5.54588161599239	-5.82134909873666	-5.67181864176134	-4.48416387651147	-5.24734926094351	-6.51961455268838	-7.36730270267370	-5.76103627359332	-5.59972773238309	-5.04859830661006	-9.78747264885489	-4.53752440883678	-5.83648991642706	-6.74165578777120
TFRC-R-V	TFRC	-5.78559385226793	-5.61283736083975	-4.61058537955030	-4.69150231455383	-3.14399306177514	-3.12596618325673	-4.77500342559035	-5.19220028094871	-6.88775551398891	-3.25864193756373	-2.89325566993348	-4.76572471670843	-4.37526351898886	-4.93673325683494	-2.99400153470394	-0.761348251474005	-4.02984841394184	-4.40017197582844	-4.04450932064590	-2.93899115996162	-1.68356826665094	-3.70523054268779	-4.47057039714828	-3.60966278887237	-4.70892601145798	-5.29317857669226	-6.51018584024602	-4.10947982906908	-4.58223363035031	-2.85743508512774	-1.15756740730650	-4.21962076011804	-4.34304614034297	-5.25356819642190	-3.97084837093543	-1.88761850315792
TIGAR-R-V	C12ORF5	-4.73524217099156	-4.42682649793394	-6.26293075753860	-5.41753076712386	-6.43432775378593	-4.57846844680587	-4.65783127439515	-4.65334640522656	-5.13337277105575	-5.91857888626813	-4.04429747826189	-5.89034922185487	-5.11745271435288	-4.38547023269193	-4.39554260796856	-2.46215613465695	-5.14642922814615	-5.61618191643321	-4.27472846859139	-4.40493252406695	-3.68977965384187	-5.43485936824750	-4.57221326790625	-6.29504858813884	-3.87230008241406	-4.88277568425863	-5.81513088833954	-3.85103110670631	-5.17607527800670	-4.40864771691285	-5.34650575061050	-5.48560084304852	-4.49777138350036	-7.97577102270575	-4.58990023927536	-5.18697658910968
Transglutaminase-M-V	TGM1	-3.58681028998883	-4.48400709544836	-5.48047998617880	-5.67224470275658	-4.61032590311291	-4.16622164206780	-3.73521179882118	-5.94495432219999	-4.80986808337485	-5.16649107796055	-5.05411510561905	-5.55525005487788	-6.13257181917666	-5.22215041402084	-6.93347370907045	-1.29983134993353	-5.43808230064050	-4.60507820607150	-4.41247431691470	-4.95928301760995	-5.24600123701032	-5.46700433422066	-4.36427302844222	-7.04732930400205	-5.16464950634808	-4.52254212127749	-5.73718143465971	-5.36304697829925	-5.61368531267309	-5.91893304629551	-3.76593301475755	-5.62657916811371	-4.87418650792099	-6.31933772003585	-1.53545665844864	-1.32147324677495
TRIM25-R-C	TRIM25	-4.80783340967281	-3.43634472156013	-4.05094590994792	-4.22222152299986	-2.54049847003816	-1.81041721680378	-3.12112209830016	-3.51879145755608	-3.36372532402574	-2.69718848634819	-2.12886913846181	-3.78744259861526	-6.19433194062127	-3.02587337643482	-2.51937648030671	-2.32119505386616	-4.44531764203759	-4.00684035286827	-6.25254743839753	-3.38570313751933	-1.42245358877266	-6.24712114992473	-4.04921458160763	-2.65464375155121	-3.36562800037738	-1.31148226781031	-3.56855643998748	-3.13283989490048	-4.16317012941200	-2.53851798825639	-2.46084211764136	-5.30409055486104	-5.53445782705961	-5.10451228414993	-3.46341144471108	-3.12334610027375
TSC1-R-C	TSC1	-5.19815381234861	-4.80644898803358	-5.30456989748562	-4.29262898326615	-4.46402346468521	-4.15825889376328	-5.45509457627986	-5.29586194904886	-6.75569073691773	-6.26047644232399	-6.06682246197955	-5.99472279004637	-5.49232501755598	-5.90074021513455	-5.19541231292614	-3.24810656406478	-7.01698501147394	-7.58161617458564	-7.27858075243468	-4.30519545890497	-3.32542908087225	-7.77367186286905	-5.87856263254061	-4.51208981807450	-6.20770039725952	-3.07542961258444	-5.73639874028623	-6.18319420229853	-7.09814117502067	-4.26510155636421	-3.73442369509894	-5.70402010040531	-5.69742550505194	-5.61602418278264	-6.25116932347603	-3.08509918687229
TTF1-R-V	TTF1	-5.41040527727663	-6.48739237205977	-6.05014380014325	-6.25910715859263	-5.84518918910848	-3.63776558017850	-5.73301313230476	-7.33225728456605	-5.53261163581333	-4.18180411034442	-4.68515153975051	-5.36516691319002	-5.93008601082949	-6.89527402859577	-9.79055870143000	-1.75207192346634	-5.96632229535520	-6.84232412847672	-8.54440143640690	-5.72295388182053	-4.14173290280157	-8.41481277420694	-5.06347526905584	-5.65186740582857	-3.93787180969653	-5.73117449639495	-5.77957732090122	-8.86629447946688	-5.73339703310053	-4.80499581544284	-5.26308880512350	-5.19748458135132	-5.70090001297855	-5.68043006577926	-4.93120226875266	-4.31037284317066
Tuberin-R-V	TSC2	-4.26512054018826	-3.29096750703044	-3.66170784183547	-3.43432080991304	-4.27001551917079	-4.77512918459983	-4.14479846553284	-4.88728844991062	-4.00264167711332	-4.38699342785955	-4.24609386670970	-4.68948831785659	-4.23956034701833	-4.13075564103575	-3.81304231477608	-3.62369372671038	-6.68174096635484	-4.44919332386817	-5.27704800672060	-3.90673153820459	-2.79248058708211	-5.13659980997991	-4.68042021061204	-5.40813463529682	-3.78901060920702	-4.77998416651775	-5.18999872605992	-3.78492409614803	-5.77647074723799	-3.71360743586035	-3.94383529323436	-4.55743432589239	-4.61011023562728	-5.08454801810860	-3.81503355291956	-2.91413943415334
