Antibody	Genes	CTRL_0	PBS_1	PBS_4	PBS_8	PBS_24	PBS_48	EGF_1	EGF_4	EGF_8	EGF_24	EGF_48	HGF_1	HGF_4	HGF_8	HGF_24	HGF_48	OSM_1	OSM_4	OSM_8	OSM_24	OSM_48	IFNG_1	IFNG_4	IFNG_8	IFNG_24	IFNG_48	BMP2_1	BMP2_4	BMP2_8	BMP2_24	BMP2_48	TGFB_1	TGFB_4	TGFB_8	TGFB_24	TGFB_48
Rad51-R-V	RAD51	-2.25981992395175	-3.28539086321841	-3.24472968272093	-2.40245749932874	-4.72453330910654	-2.00583380543778	-3.16155281057460	-4.62693284382869	-4.08411932490514	-4.21151292313121	-3.31385319201635	-4.43928167326315	-4.18761878734885	-4.63689112378295	-4.18776984816557	-3.09015788114651	-4.73592564360387	-4.08092547400479	-3.57508120726095	-4.88105610838417	-3.45211945698393	-4.81311425317063	-6.06088915377924	-4.47665735465690	-5.05264584040535	-6.16303788116291	-3.93297408313029	-3.58910896742896	-5.49202075327783	-5.35613612178604	-6.87837422913554	-4.95773899067745	-4.01120354333534	-4.26766960079489	-4.54572632794541	-4.82318689044206
Raptor-R-V	RPTOR	-6.25576227174874	-5.94755546174038	-7.66835873544055	-11.8003716230989	-4.85258773874429	-4.13921507458939	-5.75762713101543	-6.20216558412471	-5.30252496537752	-6.33233509449827	-4.46834818985005	-5.03886081506338	-5.50921102848739	-5.51901041860627	-3.83370906930274	-3.98986731058660	-5.82211507924253	-5.70191277738356	-5.88768798328912	-4.23704023600993	-3.72979976534986	-6.13866048998605	-5.65915131889735	-4.13332373168814	-5.59294503255506	-3.28904690859124	-6.08880665821705	-5.19798936277683	-5.72399436549071	-4.26612062988687	-3.20895477780850	-7.17537011258949	-6.57554751297243	-5.92322867228629	-5.32781571366880	-3.49732589556284
Rb-M-Q	RB1	-4.64940609828837	-4.65799686753150	-5.76569801690832	-6.18459859809820	-4.22491444309186	-3.71153472168231	-5.18537089937039	-4.46326891028950	-3.85398273784165	-5.03785286703493	-5.39486698890598	-6.04532843556234	-4.83589768040964	-4.60208318187650	-4.40416800440276	-3.34909773932630	-5.37004947166493	-5.42450621632791	-5.30104978604158	-5.14481542996511	-4.66355659554052	-4.85705956342013	-4.36719507290589	-4.76692006927062	-3.92081817484095	-5.62673648662559	-5.22951471965158	-4.69088262553810	-4.43355568830834	-5.64194971506769	-6.63335034644565	-5.47028815418037	-5.46280725406932	-5.44726256887139	-4.75590027976095	-5.89137183500633
RBM15-R-V	RBM15	-3.17020292933063	-5.47389697860089	-4.95541630192939	-3.16771629919640	-2.84481353790636	-2.81932702482095	-5.48276634007161	-6.47003459788816	-4.40814712472153	-2.82704923670988	-3.22407759185039	-5.52744371451575	-5.13176228261534	-4.06339282722271	-2.80958145099569	-4.03183167812147	-4.92802769503159	-3.88703456749603	-3.92073679496054	-2.90167862117069	-3.88725637488669	-4.83891506348526	-5.08309483386025	-4.80788172840001	-2.79525445802903	-2.82882461950335	-5.24141607243196	-4.66023319112654	-6.11452850151883	-2.87803259792316	-3.74041931919863	-3.69291353770088	-3.79942970670669	-4.95356409473275	-3.24350963184198	-4.29775898920204
Rb_pS807_S811-R-V	RB1	-3.56353156732862	-4.57334011145973	-4.39340065932051	-5.25675542835446	-5.49536085995556	-7.12932562260885	-3.35673030361825	-4.65547167557028	-4.90527358374545	-3.41183410755733	-3.01690055441233	-3.61529610263864	-4.23567877620952	-2.75978651720668	-3.49370203744325	-3.76554503565838	-4.58421438928084	-4.96594744233364	-5.63589154642396	-4.39257703990167	-3.23577506735580	-4.71862125911410	-3.70672610760041	-6.60449957767363	-2.91653751808123	-3.99402207076181	-4.13693279846849	-4.16083754321022	-4.51849464729941	-2.85764308675046	-4.07340817523422	-3.94164016136655	-4.52438271625299	-5.17041643180040	-5.19350266491707	-4.32194280805722
Rheb-M-C	RHEB	-4.21822462104288	-3.96824177182440	-5.49469373249178	-4.65964864709817	-4.54869164152284	-3.20129675846757	-3.45880791207794	-5.13119728729039	-4.19695462400980	-4.88364240719534	-3.32769374837928	-4.45680513126834	-4.43538624099729	-3.92567082163838	-3.49568757132023	-0.621854125124593	-4.47705106058778	-5.36299439624764	-4.67637853545007	-3.06726017167193	-2.77823358979204	-5.66351260151333	-3.52282554423255	-4.79489441711772	-3.26373225223286	-3.44992652120015	-6.28431868925381	-3.68503575930908	-5.40095709334161	-3.05047092998255	-3.65453788397180	-6.58203466791489	-2.69246345274584	-4.63693481408405	-2.92198853906615	-2.01142653094235
Rictor-R-C	RICTOR	-5.47847599267143	-4.76901148284173	-4.58811480656088	-5.86691512524183	-3.37715388229955	-3.32124348567868	-6.02428363553525	-4.52680010955035	-5.71894598443340	-4.61496584583844	-3.94816728653632	-4.00340341649135	-5.95027901223945	-5.40712028038839	-2.79123541351163	-3.02167561854722	-5.59290301911578	-6.29934753975983	-5.98231868487800	-3.25999819687161	-3.03575681359071	-5.66329743185111	-5.17516128776035	-3.39888305268727	-4.16156185585626	-2.64228919348505	-4.70179313529807	-5.53295190125262	-3.37985647751142	-3.43592091948787	-3.30122031483826	-4.16187233744516	-5.36829654678114	-4.43395008064556	-3.53923671995090	-3.18175248887828
Rictor_pT1135-R-V	RICTOR	-3.98373185656662	-5.39866966025240	-6.69229568163528	-4.29398869464193	-5.38879093602134	-4.19221309955946	-4.06626434051332	-5.19836963490258	-3.87958675151361	-3.92366582700065	-4.14958346632180	-4.47830598604487	-6.31098104962606	-4.23445774839153	-4.01803865906229	-3.64673933478646	-5.28571723322574	-5.14649615242104	-3.80385304268092	-3.87958090902711	-3.37032393853265	-4.32045748078202	-6.96417219051863	-5.51974151646058	-4.70542045374329	-6.65543422620926	-4.33812000668358	-4.99011947268059	-4.33192554556756	-3.86240031579350	-4.42645459562284	-5.04263045741212	-7.10235894233184	-5.98833979779659	-5.54728454327722	-4.37358866066727
RIP-R-C	RIP	-3.33831028583900	-4.18807063646545	-5.02409013026434	-4.09183152008155	-6.65541125448047	-4.71395062447165	-4.79261331737880	-7.36257049383746	-4.95687631905410	-4.60342084730118	-4.79236845611532	-4.23212168390339	-4.59483238582331	-4.83119657386719	-5.16064811602904	-3.89204564973051	-3.10031874709820	-4.90159145671848	-5.67272959687104	-4.78366986448694	-3.58915381120952	-4.51017910009176	-3.28130849940480	-4.50517909680452	-3.63861210039823	-3.40820887585957	-5.19429665349822	-3.97883769636405	-5.27584397939013	-4.63074564454572	-4.29735489689625	-4.77984551871257	-4.58758612509973	-6.24329845792796	-5.20377403043585	-3.86140186621352
RPA32_pS4_S8-R-C	RPA2	-6.11706477974771	-3.53401794854009	-4.29104631234576	-4.29835953062510	-3.78730619276641	-3.01879510631963	-4.50321912061769	-5.32242258115473	-4.49231563554746	-6.49983001534513	-3.48440266311589	-4.79130384070012	-5.52219223618893	-4.54442640532651	-3.31981974303668	-2.37282543753318	-6.10641447875347	-5.62753858103402	-4.91314223808194	-4.56139431054231	-3.03023402333940	-5.42376718045381	-4.55810184517785	-6.98167851391915	-5.44972941565051	-3.26706035132523	-4.08526677495074	-4.67842448117030	-5.52741038312461	-4.30257115874834	-3.19924796812887	-5.35039129776010	-4.37746230440812	-6.36416005522366	-4.30987565772860	-4.80443513688273
